timestamp,instruction,input,output,difficulty,type,context
2024-10-28T19:36:06.516718,Generate a funny joke about AI ethics and society.,"Topic: responsibility, automation, consent","What's an AI ethics professor's favorite movie?
You need to work on your BIAS-ceps!",intermediate,situational,conference
2024-10-28T19:36:06.516722,Generate a funny joke about AI ethics and society.,"Topic: consent, fairness, doom","What's an AI ethics professor's favorite way to teach?
The responsible AI shuffle!",intermediate,meta,party
2024-10-28T19:36:06.516726,Generate a funny joke about AI ethics and society.,Topic: ethics,"What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",advanced,dad joke,workshop
2024-10-28T19:36:06.516729,Generate a funny joke about AI ethics and society.,Topic: explainability,"What did the AI ethics professor say to the neural network?
Running ethical implications!",advanced,wordplay,workshop
2024-10-28T19:36:06.516733,Generate a funny joke about AI ethics and society.,Topic: correctness,"What's an AI ethics professor's favorite way to teach?
Because they keep generating their own terms and conditions!",advanced,wordplay,meeting
2024-10-28T19:36:06.516737,Generate a funny joke about AI ethics and society.,"Topic: accountability, transparency","What's an AI ethics professor's favorite movie?
To get to the ethical side of the road!",beginner,dad joke,conference
2024-10-28T19:36:06.516740,Generate a funny joke about AI ethics and society.,"Topic: fairness, ai-armageddon","Why did the AI ethics professor bring a ladder to the deep learning lecture?
To help students reach a higher moral ground!",master,dad joke,conference
2024-10-28T19:36:06.516744,Generate a funny joke about AI ethics and society.,"Topic: automation, explainability","How many AI ethics professors does it take to debug a biased model?
They don't - they form a focus group to ensure participatory design!",advanced,pun,seminar
2024-10-28T19:36:06.516749,Generate a funny joke about AI ethics and society.,Topic: ai-armageddon,"Why did the AI ethics professor get kicked out of the machine learning conference?
Because they keep generating their own terms and conditions!",beginner,meta,meeting
2024-10-28T19:36:06.516753,Generate a funny joke about AI ethics and society.,Topic: doom,"How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",master,wordplay,birthday
2024-10-28T19:36:06.516757,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, accountability","Why did the AI ethics professor get kicked out of the machine learning conference?
None, they form a committee to discuss the societal implications first!",advanced,pun,lab
2024-10-28T19:36:06.516761,Generate a funny joke about AI ethics and society.,Topic: transparency,"What did the AI ethics professor say to the neural network?
To help students reach a higher moral ground!",beginner,meta,lab
2024-10-28T19:36:06.516764,Generate a funny joke about AI ethics and society.,"Topic: consent, bias, discrimination","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",intermediate,wordplay,party
2024-10-28T19:36:06.516768,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, ai-armageddon","Why don't AI ethics professors trust GPT models?
They kept asking the robots for informed consent!",advanced,dad joke,party
2024-10-28T19:36:06.516772,Generate a funny joke about AI ethics and society.,Topic: explainability,"How does an AI ethics professor debug their code?
They don't. They hold a town hall meeting with sentient machines to crowdsource the solution!",master,wordplay,peer review
2024-10-28T19:36:06.516781,Generate a funny joke about AI ethics and society.,Topic: transparency,"What's an AI ethics professor's favorite movie?
Because they keep generating their own terms and conditions!",beginner,pun,holiday
2024-10-28T19:36:06.516865,Generate a funny joke about AI ethics and society.,"Topic: accountability, ai-apocalypse, responsibility","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",master,meta,wedding
2024-10-28T19:36:06.516877,Generate a funny joke about AI ethics and society.,Topic: ethics,"What did the AI ethics professor say to the neural network?
They don't - they form a focus group to ensure participatory design!",beginner,pun,holiday
2024-10-28T19:36:06.516886,Generate a funny joke about AI ethics and society.,"Topic: explainability, responsibility","How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",beginner,pun,wedding
2024-10-28T19:36:06.516895,Generate a funny joke about AI ethics and society.,Topic: ethics,"How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",beginner,dad joke,wedding
2024-10-28T19:36:06.516903,Generate a funny joke about AI ethics and society.,"Topic: doom, transparency","Why did the AI ethics professor bring a ladder to the deep learning lecture?
None, they form a committee to discuss the societal implications first!",advanced,pun,divorce
2024-10-28T19:36:06.516913,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, responsibility, accountability","Why don't AI ethics professors trust GPT models?
",advanced,dad joke,seminar
2024-10-28T19:36:06.516921,Generate a funny joke about AI ethics and society.,Topic: doom,"Why did the AI ethics professor bring a ladder to the deep learning lecture?
ETHICS-press-o with a side of FAIR-trade coffee!",advanced,dad joke,holiday
2024-10-28T19:36:06.516930,Generate a funny joke about AI ethics and society.,Topic: correctness,"Why did the AI ethics professor bring a ladder to the deep learning lecture?
ETHICS-press-o with a side of FAIR-trade coffee!",beginner,meta,lecture
2024-10-28T19:36:06.516939,Generate a funny joke about AI ethics and society.,Topic: automation,"What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",master,pun,seminar
2024-10-28T19:36:06.516947,Generate a funny joke about AI ethics and society.,"Topic: discrimination, fairness, responsibility","Why don't AI ethics professors trust GPT models?
None, they form a committee to discuss the societal implications first!",advanced,meta,party
2024-10-28T19:36:06.516957,Generate a funny joke about AI ethics and society.,"Topic: transparency, accountability","What's an AI ethics professor's favorite exercise?
None, they form a committee to discuss the societal implications first!",beginner,dad joke,meeting
2024-10-28T19:36:06.516966,Generate a funny joke about AI ethics and society.,"Topic: ai-apocalypse, automation","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",intermediate,meta,meeting
2024-10-28T19:36:06.516975,Generate a funny joke about AI ethics and society.,Topic: ai-apocalypse,"Why did the AI ethics professor bring a ladder to the deep learning lecture?
The Bias Identity!",intermediate,dad joke,office hours
2024-10-28T19:36:06.516983,Generate a funny joke about AI ethics and society.,Topic: accountability,"What's an AI ethics professor's favorite exercise?
ETHICS-press-o with a side of FAIR-trade coffee!",intermediate,situational,wedding
2024-10-28T19:36:06.516992,Generate a funny joke about AI ethics and society.,"Topic: automation, accountability, ethics","What's an AI ethics professor's favorite way to teach?
The Bias Identity!",master,situational,birthday
2024-10-28T19:36:06.517000,Generate a funny joke about AI ethics and society.,"Topic: responsibility, ai-armageddon, transparency","How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",intermediate,situational,conference
2024-10-28T19:36:06.517010,Generate a funny joke about AI ethics and society.,Topic: explainability,"Why did the AI ethics professor get kicked out of the machine learning conference?
The responsible AI shuffle!",advanced,meta,research
2024-10-28T19:36:06.517018,Generate a funny joke about AI ethics and society.,Topic: fairness,"What's an AI ethics professor's favorite breakfast cereal?
MORAL-ity O's with a side of BIAS-free milk!",intermediate,meta,holiday
2024-10-28T19:36:06.517027,Generate a funny joke about AI ethics and society.,Topic: transparency,"What did the AI ethics professor say to the neural network?
Because they keep generating their own terms and conditions!",intermediate,dad joke,party
2024-10-28T19:36:06.517035,Generate a funny joke about AI ethics and society.,"Topic: correctness, responsibility","Why did the AI ethics professor bring a ladder to the deep learning lecture?
The Bias Identity!",advanced,wordplay,seminar
2024-10-28T19:36:06.517044,Generate a funny joke about AI ethics and society.,Topic: correctness,"What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",advanced,wordplay,workshop
2024-10-28T19:36:06.517053,Generate a funny joke about AI ethics and society.,Topic: love,"How many AI ethics professors does it take to debug a biased model?
They don't - they form a focus group to ensure participatory design!",intermediate,dad joke,lab
2024-10-28T19:36:06.517061,Generate a funny joke about AI ethics and society.,Topic: accountability,"What did the AI ethics professor say to the neural network?
You need to work on your BIAS-ceps!",advanced,wordplay,research
2024-10-28T19:36:06.517070,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, discrimination","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",advanced,wordplay,birthday
2024-10-28T19:36:06.517078,Generate a funny joke about AI ethics and society.,"Topic: privacy, consent, transparency","What did the AI ethics professor say to the neural network?
To help students reach a higher moral ground!",advanced,situational,funeral
2024-10-28T19:36:06.517088,Generate a funny joke about AI ethics and society.,"Topic: responsibility, doom","How many AI ethics professors does it take to debug a biased model?
",advanced,meta,wedding
2024-10-28T19:36:06.517096,Generate a funny joke about AI ethics and society.,"Topic: transparency, privacy, doom","What's an AI ethics professor's favorite movie?
The Bias Identity!",beginner,dad joke,peer review
2024-10-28T19:36:06.517104,Generate a funny joke about AI ethics and society.,"Topic: accountability, discrimination","What's an AI ethics professor's favorite dance move?
They kept asking the robots for informed consent!",advanced,wordplay,peer review
2024-10-28T19:36:06.517113,Generate a funny joke about AI ethics and society.,"Topic: ethics, discrimination, consent","What did the AI ethics professor say to the neural network?
They don't - they form a focus group to ensure participatory design!",advanced,dad joke,conference
2024-10-28T19:36:06.517123,Generate a funny joke about AI ethics and society.,Topic: accountability,"What did the AI ethics professor say to the neural network?
The responsible AI shuffle!",advanced,pun,peer review
2024-10-28T19:36:06.517131,Generate a funny joke about AI ethics and society.,Topic: ai-apocalypse,"Why did the AI ethics professor bring a ladder to the debugging session?
",advanced,wordplay,divorce
2024-10-28T19:36:06.517139,Generate a funny joke about AI ethics and society.,"Topic: responsibility, explainability, doom","What did the AI ethics professor say to the neural network?
None, they form a committee to discuss the societal implications first!",advanced,situational,divorce
2024-10-28T19:36:06.517148,Generate a funny joke about AI ethics and society.,"Topic: transparency, doom","How many AI ethics professors does it take to debug a biased model?
They don't - they form a focus group to ensure participatory design!",advanced,dad joke,peer review
2024-10-28T19:36:06.517157,Generate a funny joke about AI ethics and society.,"Topic: privacy, correctness, transparency","What did the AI ethics professor say to the neural network?
To help students reach a higher moral ground!",master,situational,party
2024-10-28T19:36:06.517192,Generate a funny joke about AI ethics and society.,"Topic: consent, doom","What did the AI ethics professor say to the neural network?
To help students reach a higher moral ground!",beginner,pun,office hours
2024-10-28T19:36:06.517202,Generate a funny joke about AI ethics and society.,Topic: consent,"Why did the AI ethics professor bring a *step stool* to the deep learning lecture?
",intermediate,meta,holiday
2024-10-28T19:36:06.517210,Generate a funny joke about AI ethics and society.,"Topic: discrimination, correctness","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",advanced,wordplay,conference
2024-10-28T19:36:06.517220,Generate a funny joke about AI ethics and society.,"Topic: responsibility, explainability","Why did the AI ethics professor bring a ladder to the deep learning lecture?
ETHICS-press-o with a side of FAIR-trade coffee!",intermediate,situational,divorce
2024-10-28T19:36:06.517229,Generate a funny joke about AI ethics and society.,"Topic: ethics, ai-armageddon, explainability","Why did the AI ethics professor bring a ladder to the deep learning lecture?
To get to the ethical side of the road!",master,meta,holiday
2024-10-28T19:36:06.517238,Generate a funny joke about AI ethics and society.,"Topic: fairness, doom","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",advanced,meta,peer review
2024-10-28T19:36:06.517247,Generate a funny joke about AI ethics and society.,"Topic: discrimination, automation, consent","How many AI ethics professors does it take to debug a biased model?
",beginner,dad joke,peer review
2024-10-28T19:36:06.517256,Generate a funny joke about AI ethics and society.,Topic: transparency,"What's an AI ethics professor's favorite movie?
The Bias Identity!",advanced,dad joke,conference
2024-10-28T19:36:06.517264,Generate a funny joke about AI ethics and society.,"Topic: consent, fairness, doom","What's an AI ethics professor's favorite dance move?
Running ethical implications!",master,situational,workshop
2024-10-28T19:36:06.517272,Generate a funny joke about AI ethics and society.,"Topic: ai-apocalypse, explainability","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",master,pun,meeting
2024-10-28T19:36:06.517281,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, correctness","What's an AI ethics professor's favorite movie?
They kept asking the robots for informed consent!",intermediate,wordplay,meeting
2024-10-28T19:36:06.517289,Generate a funny joke about AI ethics and society.,"Topic: doom, transparency","What's an AI ethics professor's favorite dance move?
You need to work on your BIAS-ceps!",intermediate,dad joke,holiday
2024-10-28T19:36:06.517298,Generate a funny joke about AI ethics and society.,"Topic: bias, apocalypse, explainability","Why don't AI ethics professors trust GPT models?
None, they form a committee to discuss the societal implications first!",intermediate,dad joke,workshop
2024-10-28T19:36:06.517307,Generate a funny joke about AI ethics and society.,Topic: ethics,"How about this:
",beginner,wordplay,office hours
2024-10-28T19:36:06.517314,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, consent, responsibility","What's an AI ethics professor's favorite exercise?
Because they keep generating their own terms and conditions!",intermediate,dad joke,divorce
2024-10-28T19:36:06.517323,Generate a funny joke about AI ethics and society.,Topic: ai-apocalypse,"What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",intermediate,meta,wedding
2024-10-28T19:36:06.517332,Generate a funny joke about AI ethics and society.,Topic: ai-armageddon,"What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",beginner,wordplay,lecture
2024-10-28T19:36:06.517340,Generate a funny joke about AI ethics and society.,"Topic: transparency, transparency, fairness","What's an AI ethics professor's favorite dance move?
To get to the ethical side of the road!",intermediate,pun,funeral
2024-10-28T19:36:06.517349,Generate a funny joke about AI ethics and society.,"Topic: transparency, love","Why don't AI ethics professors trust GPT models?
The Bias Identity!",intermediate,wordplay,office hours
2024-10-28T19:36:06.517357,Generate a funny joke about AI ethics and society.,"Topic: ai-apocalypse, love, transparency","Why did the AI ethics professor bring a ladder to the deep learning lecture?
They don't - they form a focus group to ensure participatory design!",master,dad joke,birthday
2024-10-28T19:36:06.517367,Generate a funny joke about AI ethics and society.,Topic: consent,"What's an AI ethics professor's favorite way to teach?
They kept asking the robots for informed consent!",advanced,dad joke,seminar
2024-10-28T19:36:06.517375,Generate a funny joke about AI ethics and society.,"Topic: love, automation, responsibility","What's an AI ethics professor's favorite movie?
To help students reach a higher moral ground!",beginner,wordplay,lab
2024-10-28T19:36:06.517384,Generate a funny joke about AI ethics and society.,"Topic: automation, discrimination","Here's a punchier version that keeps the same theme:
",beginner,situational,lab
2024-10-28T19:36:06.517391,Generate a funny joke about AI ethics and society.,Topic: fairness,"Why don't AI ethics professors TRUST GPT models?
Because they keep raising the bar so high, it's impossible to REACH the moral ground!",master,dad joke,research
2024-10-28T19:36:06.517401,Generate a funny joke about AI ethics and society.,"Topic: automation, ai-apocalypse, consent","What's an AI ethics professor's favorite movie?
Running ethical implications!",master,meta,wedding
2024-10-28T19:36:06.517409,Generate a funny joke about AI ethics and society.,Topic: automation,"What's an AI ethics professor's favorite movie?
You need to work on your BIAS-ceps!",master,situational,funeral
2024-10-28T19:36:06.517417,Generate a funny joke about AI ethics and society.,Topic: bias,"What's an AI ethics professor's favorite way to teach?
The Bias Identity!",advanced,dad joke,funeral
2024-10-28T19:36:06.517424,Generate a funny joke about AI ethics and society.,"Topic: transparency, love, privacy","What did the AI ethics professor say to the neural network?
Running ethical implications!",master,pun,holiday
2024-10-28T19:36:06.517433,Generate a funny joke about AI ethics and society.,Topic: explainability,"Why don't AI ethics professors trust GPT models?
",advanced,situational,funeral
2024-10-28T19:36:06.517440,Generate a funny joke about AI ethics and society.,"Topic: ethics, automation","What's an AI ethics professor's favorite dance move?
None, they form a committee to discuss the societal implications first!",intermediate,pun,birthday
2024-10-28T19:36:06.517449,Generate a funny joke about AI ethics and society.,"Topic: bias, responsibility","Why did the AI ethics professor get kicked out of the machine learning conference?
To get to the ethical side of the road!",intermediate,meta,lab
2024-10-28T19:36:06.517458,Generate a funny joke about AI ethics and society.,"Topic: discrimination, automation","What's an AI ethics professor's favorite dance move?
They kept asking the robots for informed consent!",beginner,pun,party
2024-10-28T19:36:06.517466,Generate a funny joke about AI ethics and society.,Topic: discrimination,"What's an AI ethics professor's favorite way to teach?
None, they form a committee to discuss the societal implications first!",advanced,situational,peer review
2024-10-28T19:36:06.517476,Generate a funny joke about AI ethics and society.,"Topic: discrimination, automation, fairness","What's an AI ethics professor's favorite exercise?
The Bias Identity!",beginner,dad joke,holiday
2024-10-28T19:36:06.517484,Generate a funny joke about AI ethics and society.,Topic: correctness,"What's an AI ethics professor's favorite movie?
They don't - they form a focus group to ensure participatory design!",master,pun,wedding
2024-10-28T19:36:06.517509,Generate a funny joke about AI ethics and society.,"Topic: privacy, transparency, ethics","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",intermediate,dad joke,holiday
2024-10-28T19:36:06.517519,Generate a funny joke about AI ethics and society.,Topic: automation,"What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",intermediate,dad joke,lecture
2024-10-28T19:36:06.517528,Generate a funny joke about AI ethics and society.,Topic: responsibility,"Why did the AI ethics professor bring a ladder to the cinema?
Because she wanted to watch The Bias Identity from a Higher Ground!",master,dad joke,divorce
2024-10-28T19:36:06.517537,Generate a funny joke about AI ethics and society.,"Topic: accountability, privacy","What's an AI ethics professor's favorite movie?
The Bias Identity!",intermediate,wordplay,party
2024-10-28T19:36:06.517545,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, discrimination","What's an AI ethics professor's favorite way to teach?
Running ethical implications!",advanced,pun,holiday
2024-10-28T19:36:06.517553,Generate a funny joke about AI ethics and society.,"Topic: transparency, consent, discrimination","Why did the AI ethics professor get kicked out of the machine learning conference?
They kept asking the robots for informed consent!",beginner,dad joke,lab
2024-10-28T19:36:06.517562,Generate a funny joke about AI ethics and society.,"Topic: doom, automation","Why did the AI ethics professor bring a ladder to the deep learning lecture?
Running ethical implications!",intermediate,wordplay,holiday
2024-10-28T19:36:06.517571,Generate a funny joke about AI ethics and society.,"Topic: transparency, fairness","What did the AI ethics professor say to the neural network?
To help students reach a higher moral ground!",advanced,dad joke,lab
2024-10-28T19:36:06.517579,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, ai-apocalypse, accountability","Why did the AI ethics professor get thrown out of the machine learning conference?
Because he kept raising ethical concerns!",beginner,wordplay,meeting
2024-10-28T19:36:06.517589,Generate a funny joke about AI ethics and society.,"Topic: fairness, automation, consent","What's an AI ethics professor's favorite way to teach?
None, they form a committee to discuss the societal implications first!",advanced,pun,conference
2024-10-28T19:36:06.517599,Generate a funny joke about AI ethics and society.,"Topic: automation, bias, discrimination","What's an AI ethics professor's favorite movie?
They kept asking the robots for informed consent!",beginner,pun,office hours
2024-10-28T19:36:06.517608,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, doom, bias","How many AI ethics professors does it take to debug a biased model?
They don't - they form a focus group to ensure participatory design!",beginner,wordplay,holiday
2024-10-28T19:36:06.517617,Generate a funny joke about AI ethics and society.,Topic: privacy,"What's an AI ethics professor's favorite cardio workout?
Ethics-uppity-ups!",master,situational,meeting
2024-10-28T19:36:06.517625,Generate a funny joke about AI ethics and society.,"Topic: automation, ai-armageddon","How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",master,dad joke,conference
2024-10-28T19:36:06.517634,Generate a funny joke about AI ethics and society.,"Topic: transparency, fairness","What's an AI ethics professor's favorite way to teach?
You need to work on your BIAS-ceps!",master,pun,lab
2024-10-28T19:36:06.517642,Generate a funny joke about AI ethics and society.,"Topic: discrimination, doom, apocalypse","What's an AI ethics professor's favorite way to teach?
Running ethical implications!",master,pun,wedding
2024-10-28T19:36:06.517650,Generate a funny joke about AI ethics and society.,Topic: transparency,"What's an AI ethics professor's favorite way to teach?
Because they keep generating their own terms and conditions!",advanced,dad joke,birthday
2024-10-28T19:36:06.517659,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, consent, transparency","What's an AI ethics professor's favorite exercise?
You need to work on your BIAS-ceps!",beginner,wordplay,meeting
2024-10-28T19:36:06.517668,Generate a funny joke about AI ethics and society.,"Topic: discrimination, bias","What's an AI ethics professor's favorite movie?
The responsible AI shuffle!",master,situational,conference
2024-10-28T19:36:06.517676,Generate a funny joke about AI ethics and society.,Topic: doom,"What's an AI ethics professor's favorite dance move?
None, they form a committee to discuss the societal implications first!",intermediate,situational,research
2024-10-28T19:36:06.517685,Generate a funny joke about AI ethics and society.,Topic: ethics,"What's an AI ethics professor's favorite exercise?
They don't - they form a focus group to ensure participatory design!",master,situational,funeral
2024-10-28T19:36:06.517693,Generate a funny joke about AI ethics and society.,Topic: responsibility,"What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",beginner,situational,funeral
2024-10-28T19:36:06.517702,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, ethics","Here's a revised version of your joke:
",advanced,dad joke,funeral
2024-10-28T19:36:06.517710,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, love, ai-apocalypse","Why did the AI ethics professor get kicked out of the machine learning conference?
They kept asking the robots for informed consent!",advanced,dad joke,research
2024-10-28T19:36:06.517719,Generate a funny joke about AI ethics and society.,"Topic: bias, fairness","What's an AI ethics professor's favorite movie?
None, they form a committee to discuss the societal implications first!",advanced,meta,meeting
2024-10-28T19:36:06.517728,Generate a funny joke about AI ethics and society.,Topic: consent,"How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",beginner,situational,conference
2024-10-28T19:36:06.517737,Generate a funny joke about AI ethics and society.,"Topic: accountability, transparency","How many AI ethics professors does it take to debug a biased model?
They don't - they form a focus group to ensure participatory design!",intermediate,wordplay,lecture
2024-10-28T19:36:06.517747,Generate a funny joke about AI ethics and society.,"Topic: doom, ethics, privacy","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",beginner,situational,lecture
2024-10-28T19:36:06.517756,Generate a funny joke about AI ethics and society.,"Topic: bias, love","What's an AI ethics professor's favorite breakfast?
ETHICS-press-o with a side of FAIR-trade coffee!",advanced,dad joke,holiday
2024-10-28T19:36:06.517764,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, accountability","What's an AI ethics professor's favorite way to teach?
The Bias Identity!",advanced,wordplay,lecture
2024-10-28T19:36:06.517772,Generate a funny joke about AI ethics and society.,"Topic: doom, automation, ai-armageddon","What's an AI ethics professor's favorite movie?
Running ethical implications!",beginner,meta,holiday
2024-10-28T19:36:06.517780,Generate a funny joke about AI ethics and society.,"Topic: apocalypse, ethics","How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",intermediate,situational,holiday
2024-10-28T19:36:06.517789,Generate a funny joke about AI ethics and society.,"Topic: fairness, ai-armageddon","What's an AI ethics professor's favorite dance move?
None, they form a committee to discuss the societal implications first!",beginner,pun,divorce
2024-10-28T19:36:06.517798,Generate a funny joke about AI ethics and society.,"Topic: correctness, responsibility","What's an AI ethics professor's favorite dance move?
To get to the ethical side of the road!",beginner,wordplay,research
2024-10-28T19:36:06.517837,Generate a funny joke about AI ethics and society.,"Topic: consent, correctness","How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",intermediate,pun,funeral
2024-10-28T19:36:06.517846,Generate a funny joke about AI ethics and society.,Topic: explainability,"How does an AI ethics professor debug their code?
They don't - they form a focus group to ensure participatory design!",beginner,pun,lab
2024-10-28T19:36:06.517855,Generate a funny joke about AI ethics and society.,"Topic: ai-armageddon, explainability","What's an AI ethics professor's favorite dance move?
To get to the ethical side of the road!",advanced,pun,divorce
2024-10-28T19:36:06.517864,Generate a funny joke about AI ethics and society.,"Topic: responsibility, transparency, love","What's an AI ethics professor's favorite way to debug?
They don't - they form a focus group to ensure participatory design!",advanced,dad joke,office hours
2024-10-28T19:36:06.517873,Generate a funny joke about AI ethics and society.,"Topic: transparency, fairness","What did the AI ethics professor say to the neural network?
To get to the ethical side of the road!",intermediate,wordplay,party
2024-10-28T19:36:06.517881,Generate a funny joke about AI ethics and society.,Topic: accountability,"Why did the AI ethics professor bring a *fire extinguisher* to the deep learning lecture?
",intermediate,wordplay,wedding
2024-10-28T19:36:06.517890,Generate a funny joke about AI ethics and society.,"Topic: doom, apocalypse","What's an AI ethics professor's favorite movie?
ETHICS-press-o with a side of FAIR-trade coffee!",advanced,meta,research
2024-10-28T19:36:06.517898,Generate a funny joke about AI ethics and society.,Topic: doom,"What's an AI ethics professor's favorite exercise?
Because they keep generating their own terms and conditions!",master,wordplay,office hours
2024-10-28T19:36:06.517906,Generate a funny joke about AI ethics and society.,Topic: transparency,"What's an AI ethics professor's favorite dance move?
To get to the ethical side of the road!",beginner,pun,funeral
