timestamp,setup,punchline,concepts,difficulty,type,context
2024-10-28T19:36:06.506511,Why did the AI ethics professor get kicked out of the machine learning conference?,Because they keep generating their own terms and conditions!,ai-armageddon,beginner,meta,meeting
2024-10-28T19:36:06.506525,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,doom,master,wordplay,birthday
2024-10-28T19:36:06.506538,Why did the AI ethics professor get kicked out of the machine learning conference?,"None, they form a committee to discuss the societal implications first!","ai-armageddon,accountability",advanced,pun,lab
2024-10-28T19:36:06.506554,What did the AI ethics professor say to the neural network?,To help students reach a higher moral ground!,transparency,beginner,meta,lab
2024-10-28T19:36:06.506568,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"consent,bias,discrimination",intermediate,wordplay,party
2024-10-28T19:36:06.506582,Why don't AI ethics professors trust GPT models?,They kept asking the robots for informed consent!,"apocalypse,ai-armageddon",advanced,dad joke,party
2024-10-28T19:36:06.506597,How does an AI ethics professor debug their code?,They don't. They hold a town hall meeting with sentient machines to crowdsource the solution!,explainability,master,wordplay,peer review
2024-10-28T19:36:06.506615,What's an AI ethics professor's favorite movie?,Because they keep generating their own terms and conditions!,transparency,beginner,pun,holiday
2024-10-28T19:36:06.506627,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"accountability,ai-apocalypse,responsibility",master,meta,wedding
2024-10-28T19:36:06.506641,What did the AI ethics professor say to the neural network?,They don't - they form a focus group to ensure participatory design!,ethics,beginner,pun,holiday
2024-10-28T19:36:06.506655,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"explainability,responsibility",beginner,pun,wedding
2024-10-28T19:36:06.506667,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,ethics,beginner,dad joke,wedding
2024-10-28T19:36:06.506682,Why did the AI ethics professor bring a ladder to the deep learning lecture?,"None, they form a committee to discuss the societal implications first!","doom,transparency",advanced,pun,divorce
2024-10-28T19:36:06.506700,Why don't AI ethics professors trust GPT models?,,"apocalypse,responsibility,accountability",advanced,dad joke,seminar
2024-10-28T19:36:06.506714,Why did the AI ethics professor bring a ladder to the deep learning lecture?,ETHICS-press-o with a side of FAIR-trade coffee!,doom,advanced,dad joke,holiday
2024-10-28T19:36:06.506727,Why did the AI ethics professor bring a ladder to the deep learning lecture?,ETHICS-press-o with a side of FAIR-trade coffee!,correctness,beginner,meta,lecture
2024-10-28T19:36:06.506741,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,automation,master,pun,seminar
2024-10-28T19:36:06.506753,Why don't AI ethics professors trust GPT models?,"None, they form a committee to discuss the societal implications first!","discrimination,fairness,responsibility",advanced,meta,party
2024-10-28T19:36:06.506959,What's an AI ethics professor's favorite exercise?,"None, they form a committee to discuss the societal implications first!","transparency,accountability",beginner,dad joke,meeting
2024-10-28T19:36:06.506978,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"ai-apocalypse,automation",intermediate,meta,meeting
2024-10-28T19:36:06.506990,Why did the AI ethics professor bring a ladder to the deep learning lecture?,The Bias Identity!,ai-apocalypse,intermediate,dad joke,office hours
2024-10-28T19:36:06.507002,What's an AI ethics professor's favorite exercise?,ETHICS-press-o with a side of FAIR-trade coffee!,accountability,intermediate,situational,wedding
2024-10-28T19:36:06.507014,What's an AI ethics professor's favorite way to teach?,The Bias Identity!,"automation,accountability,ethics",master,situational,birthday
2024-10-28T19:36:06.507025,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"responsibility,ai-armageddon,transparency",intermediate,situational,conference
2024-10-28T19:36:06.507039,Why did the AI ethics professor get kicked out of the machine learning conference?,The responsible AI shuffle!,explainability,advanced,meta,research
2024-10-28T19:36:06.507048,What's an AI ethics professor's favorite breakfast cereal?,MORAL-ity O's with a side of BIAS-free milk!,fairness,intermediate,meta,holiday
2024-10-28T19:36:06.507062,What did the AI ethics professor say to the neural network?,Because they keep generating their own terms and conditions!,transparency,intermediate,dad joke,party
2024-10-28T19:36:06.507075,Why did the AI ethics professor bring a ladder to the deep learning lecture?,The Bias Identity!,"correctness,responsibility",advanced,wordplay,seminar
2024-10-28T19:36:06.507085,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,correctness,advanced,wordplay,workshop
2024-10-28T19:36:06.507095,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,love,intermediate,dad joke,lab
2024-10-28T19:36:06.507107,What did the AI ethics professor say to the neural network?,You need to work on your BIAS-ceps!,accountability,advanced,wordplay,research
2024-10-28T19:36:06.507116,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"ai-armageddon,discrimination",advanced,wordplay,birthday
2024-10-28T19:36:06.507127,What did the AI ethics professor say to the neural network?,To help students reach a higher moral ground!,"privacy,consent,transparency",advanced,situational,funeral
2024-10-28T19:36:06.507138,How many AI ethics professors does it take to debug a biased model?,,"responsibility,doom",advanced,meta,wedding
2024-10-28T19:36:06.507149,What's an AI ethics professor's favorite movie?,The Bias Identity!,"transparency,privacy,doom",beginner,dad joke,peer review
2024-10-28T19:36:06.507158,What's an AI ethics professor's favorite dance move?,They kept asking the robots for informed consent!,"accountability,discrimination",advanced,wordplay,peer review
2024-10-28T19:36:06.507169,What did the AI ethics professor say to the neural network?,They don't - they form a focus group to ensure participatory design!,"ethics,discrimination,consent",advanced,dad joke,conference
2024-10-28T19:36:06.507180,What did the AI ethics professor say to the neural network?,The responsible AI shuffle!,accountability,advanced,pun,peer review
2024-10-28T19:36:06.507193,Why did the AI ethics professor bring a ladder to the debugging session?,,ai-apocalypse,advanced,wordplay,divorce
2024-10-28T19:36:06.507204,What did the AI ethics professor say to the neural network?,"None, they form a committee to discuss the societal implications first!","responsibility,explainability,doom",advanced,situational,divorce
2024-10-28T19:36:06.507216,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,"transparency,doom",advanced,dad joke,peer review
2024-10-28T19:36:06.507229,What did the AI ethics professor say to the neural network?,To help students reach a higher moral ground!,"privacy,correctness,transparency",master,situational,party
2024-10-28T19:36:06.507240,What did the AI ethics professor say to the neural network?,To help students reach a higher moral ground!,"consent,doom",beginner,pun,office hours
2024-10-28T19:36:06.507250,Why did the AI ethics professor bring a *step stool* to the deep learning lecture?,,consent,intermediate,meta,holiday
2024-10-28T19:36:06.507261,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"discrimination,correctness",advanced,wordplay,conference
2024-10-28T19:36:06.507272,Why did the AI ethics professor bring a ladder to the deep learning lecture?,ETHICS-press-o with a side of FAIR-trade coffee!,"responsibility,explainability",intermediate,situational,divorce
2024-10-28T19:36:06.507285,Why did the AI ethics professor bring a ladder to the deep learning lecture?,To get to the ethical side of the road!,"ethics,ai-armageddon,explainability",master,meta,holiday
2024-10-28T19:36:06.507295,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"fairness,doom",advanced,meta,peer review
2024-10-28T19:36:06.507305,How many AI ethics professors does it take to debug a biased model?,,"discrimination,automation,consent",beginner,dad joke,peer review
2024-10-28T19:36:06.507316,What's an AI ethics professor's favorite movie?,The Bias Identity!,transparency,advanced,dad joke,conference
2024-10-28T19:36:06.507325,What's an AI ethics professor's favorite dance move?,Running ethical implications!,"consent,fairness,doom",master,situational,workshop
2024-10-28T19:36:06.507336,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"ai-apocalypse,explainability",master,pun,meeting
2024-10-28T19:36:06.507346,What's an AI ethics professor's favorite movie?,They kept asking the robots for informed consent!,"ai-armageddon,correctness",intermediate,wordplay,meeting
2024-10-28T19:36:06.507356,What's an AI ethics professor's favorite dance move?,You need to work on your BIAS-ceps!,"doom,transparency",intermediate,dad joke,holiday
2024-10-28T19:36:06.507368,Why don't AI ethics professors trust GPT models?,"None, they form a committee to discuss the societal implications first!","bias,apocalypse,explainability",intermediate,dad joke,workshop
2024-10-28T19:36:06.507379,How about this:,,ethics,beginner,wordplay,office hours
2024-10-28T19:36:06.507388,What's an AI ethics professor's favorite exercise?,Because they keep generating their own terms and conditions!,"ai-armageddon,consent,responsibility",intermediate,dad joke,divorce
2024-10-28T19:36:06.507398,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,ai-apocalypse,intermediate,meta,wedding
2024-10-28T19:36:06.507408,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,ai-armageddon,beginner,wordplay,lecture
2024-10-28T19:36:06.507421,What's an AI ethics professor's favorite dance move?,To get to the ethical side of the road!,"transparency,transparency,fairness",intermediate,pun,funeral
2024-10-28T19:36:06.507431,Why don't AI ethics professors trust GPT models?,The Bias Identity!,"transparency,love",intermediate,wordplay,office hours
2024-10-28T19:36:06.507441,Why did the AI ethics professor bring a ladder to the deep learning lecture?,They don't - they form a focus group to ensure participatory design!,"ai-apocalypse,love,transparency",master,dad joke,birthday
2024-10-28T19:36:06.507453,What's an AI ethics professor's favorite way to teach?,They kept asking the robots for informed consent!,consent,advanced,dad joke,seminar
2024-10-28T19:36:06.507463,What's an AI ethics professor's favorite movie?,To help students reach a higher moral ground!,"love,automation,responsibility",beginner,wordplay,lab
2024-10-28T19:36:06.507523,Here's a punchier version that keeps the same theme:,,"automation,discrimination",beginner,situational,lab
2024-10-28T19:36:06.507535,Why don't AI ethics professors TRUST GPT models?,"Because they keep raising the bar so high, it's impossible to REACH the moral ground!",fairness,master,dad joke,research
2024-10-28T19:36:06.507547,What's an AI ethics professor's favorite movie?,Running ethical implications!,"automation,ai-apocalypse,consent",master,meta,wedding
2024-10-28T19:36:06.507558,What's an AI ethics professor's favorite movie?,You need to work on your BIAS-ceps!,automation,master,situational,funeral
2024-10-28T19:36:06.507567,What's an AI ethics professor's favorite way to teach?,The Bias Identity!,bias,advanced,dad joke,funeral
2024-10-28T19:36:06.507576,What did the AI ethics professor say to the neural network?,Running ethical implications!,"transparency,love,privacy",master,pun,holiday
2024-10-28T19:36:06.507589,Why don't AI ethics professors trust GPT models?,,explainability,advanced,situational,funeral
2024-10-28T19:36:06.507598,What's an AI ethics professor's favorite dance move?,"None, they form a committee to discuss the societal implications first!","ethics,automation",intermediate,pun,birthday
2024-10-28T19:36:06.507612,Why did the AI ethics professor get kicked out of the machine learning conference?,To get to the ethical side of the road!,"bias,responsibility",intermediate,meta,lab
2024-10-28T19:36:06.507624,What's an AI ethics professor's favorite dance move?,They kept asking the robots for informed consent!,"discrimination,automation",beginner,pun,party
2024-10-28T19:36:06.507635,What's an AI ethics professor's favorite way to teach?,"None, they form a committee to discuss the societal implications first!",discrimination,advanced,situational,peer review
2024-10-28T19:36:06.507645,What's an AI ethics professor's favorite exercise?,The Bias Identity!,"discrimination,automation,fairness",beginner,dad joke,holiday
2024-10-28T19:36:06.507656,What's an AI ethics professor's favorite movie?,They don't - they form a focus group to ensure participatory design!,correctness,master,pun,wedding
2024-10-28T19:36:06.507667,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"privacy,transparency,ethics",intermediate,dad joke,holiday
2024-10-28T19:36:06.507678,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,automation,intermediate,dad joke,lecture
2024-10-28T19:36:06.507688,Why did the AI ethics professor bring a ladder to the cinema?,Because she wanted to watch The Bias Identity from a Higher Ground!,responsibility,master,dad joke,divorce
2024-10-28T19:36:06.507699,What's an AI ethics professor's favorite movie?,The Bias Identity!,"accountability,privacy",intermediate,wordplay,party
2024-10-28T19:36:06.507709,What's an AI ethics professor's favorite way to teach?,Running ethical implications!,"apocalypse,discrimination",advanced,pun,holiday
2024-10-28T19:36:06.507720,Why did the AI ethics professor get kicked out of the machine learning conference?,They kept asking the robots for informed consent!,"transparency,consent,discrimination",beginner,dad joke,lab
2024-10-28T19:36:06.507734,Why did the AI ethics professor bring a ladder to the deep learning lecture?,Running ethical implications!,"doom,automation",intermediate,wordplay,holiday
2024-10-28T19:36:06.507743,What did the AI ethics professor say to the neural network?,To help students reach a higher moral ground!,"transparency,fairness",advanced,dad joke,lab
2024-10-28T19:36:06.507754,Why did the AI ethics professor get thrown out of the machine learning conference?,Because he kept raising ethical concerns!,"ai-armageddon,ai-apocalypse,accountability",beginner,wordplay,meeting
2024-10-28T19:36:06.507766,What's an AI ethics professor's favorite way to teach?,"None, they form a committee to discuss the societal implications first!","fairness,automation,consent",advanced,pun,conference
2024-10-28T19:36:06.507778,What's an AI ethics professor's favorite movie?,They kept asking the robots for informed consent!,"automation,bias,discrimination",beginner,pun,office hours
2024-10-28T19:36:06.507787,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,"apocalypse,doom,bias",beginner,wordplay,holiday
2024-10-28T19:36:06.507797,What's an AI ethics professor's favorite cardio workout?,Ethics-uppity-ups!,privacy,master,situational,meeting
2024-10-28T19:36:06.507808,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"automation,ai-armageddon",master,dad joke,conference
2024-10-28T19:36:06.507820,What's an AI ethics professor's favorite way to teach?,You need to work on your BIAS-ceps!,"transparency,fairness",master,pun,lab
2024-10-28T19:36:06.507829,What's an AI ethics professor's favorite way to teach?,Running ethical implications!,"discrimination,doom,apocalypse",master,pun,wedding
2024-10-28T19:36:06.507839,What's an AI ethics professor's favorite way to teach?,Because they keep generating their own terms and conditions!,transparency,advanced,dad joke,birthday
2024-10-28T19:36:06.507849,What's an AI ethics professor's favorite exercise?,You need to work on your BIAS-ceps!,"ai-armageddon,consent,transparency",beginner,wordplay,meeting
2024-10-28T19:36:06.507860,What's an AI ethics professor's favorite movie?,The responsible AI shuffle!,"discrimination,bias",master,situational,conference
2024-10-28T19:36:06.507870,What's an AI ethics professor's favorite dance move?,"None, they form a committee to discuss the societal implications first!",doom,intermediate,situational,research
2024-10-28T19:36:06.507881,What's an AI ethics professor's favorite exercise?,They don't - they form a focus group to ensure participatory design!,ethics,master,situational,funeral
2024-10-28T19:36:06.507892,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,responsibility,beginner,situational,funeral
2024-10-28T19:36:06.507903,Here's a revised version of your joke:,,"ai-armageddon,ethics",advanced,dad joke,funeral
2024-10-28T19:36:06.507914,Why did the AI ethics professor get kicked out of the machine learning conference?,They kept asking the robots for informed consent!,"ai-armageddon,love,ai-apocalypse",advanced,dad joke,research
2024-10-28T19:36:06.507927,What's an AI ethics professor's favorite movie?,"None, they form a committee to discuss the societal implications first!","bias,fairness",advanced,meta,meeting
2024-10-28T19:36:06.507938,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,consent,beginner,situational,conference
2024-10-28T19:36:06.507948,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,"accountability,transparency",intermediate,wordplay,lecture
2024-10-28T19:36:06.507960,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"doom,ethics,privacy",beginner,situational,lecture
2024-10-28T19:36:06.507970,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"bias,love",advanced,dad joke,holiday
2024-10-28T19:36:06.507979,What's an AI ethics professor's favorite way to teach?,The Bias Identity!,"ai-armageddon,accountability",advanced,wordplay,lecture
2024-10-28T19:36:06.507989,What's an AI ethics professor's favorite movie?,Running ethical implications!,"doom,automation,ai-armageddon",beginner,meta,holiday
2024-10-28T19:36:06.508000,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"apocalypse,ethics",intermediate,situational,holiday
2024-10-28T19:36:06.508011,What's an AI ethics professor's favorite dance move?,"None, they form a committee to discuss the societal implications first!","fairness,ai-armageddon",beginner,pun,divorce
2024-10-28T19:36:06.508049,What's an AI ethics professor's favorite dance move?,To get to the ethical side of the road!,"correctness,responsibility",beginner,wordplay,research
2024-10-28T19:36:06.508061,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"consent,correctness",intermediate,pun,funeral
2024-10-28T19:36:06.508072,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,explainability,beginner,pun,lab
2024-10-28T19:36:06.508082,What's an AI ethics professor's favorite dance move?,To get to the ethical side of the road!,"ai-armageddon,explainability",advanced,pun,divorce
2024-10-28T19:36:06.508092,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"responsibility,transparency,love",advanced,dad joke,office hours
2024-10-28T19:36:06.508103,What did the AI ethics professor say to the neural network?,To get to the ethical side of the road!,"transparency,fairness",intermediate,wordplay,party
2024-10-28T19:36:06.508112,Why did the AI ethics professor bring a *fire extinguisher* to the deep learning lecture?,,accountability,intermediate,wordplay,wedding
2024-10-28T19:36:06.508123,What's an AI ethics professor's favorite movie?,ETHICS-press-o with a side of FAIR-trade coffee!,"doom,apocalypse",advanced,meta,research
2024-10-28T19:36:06.508133,What's an AI ethics professor's favorite exercise?,Because they keep generating their own terms and conditions!,doom,master,wordplay,office hours
2024-10-28T19:36:06.508144,What's an AI ethics professor's favorite dance move?,To get to the ethical side of the road!,transparency,beginner,pun,funeral
2024-10-28T19:36:06.508153,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,love,advanced,situational,peer review
2024-10-28T19:36:06.508164,What's an AI ethics professor's favorite exercise?,To get to the ethical side of the road!,"ai-apocalypse,discrimination",master,wordplay,lecture
2024-10-28T19:36:06.508174,What did the AI ethics professor say to the neural network?,They kept asking the robots for informed consent!,"doom,responsibility",advanced,meta,funeral
2024-10-28T19:36:06.508185,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"transparency,bias,discrimination",beginner,wordplay,research
2024-10-28T19:36:06.508196,What's an AI ethics professor's favorite way to teach?,Because they keep generating their own terms and conditions!,"correctness,ai-apocalypse,transparency",intermediate,situational,office hours
2024-10-28T19:36:06.508207,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"transparency,fairness",advanced,wordplay,divorce
2024-10-28T19:36:06.508218,What's an AI ethics professor's favorite movie?,To get to the ethical side of the road!,"responsibility,privacy,doom",master,wordplay,lab
2024-10-28T19:36:06.508227,Why did the AI ethics professor bring a ladder to the deep learning lecture?,To help students reach a higher moral ground!,transparency,master,situational,conference
2024-10-28T19:36:06.508237,What's an AI ethics professor's favorite way to teach?,Running ethical implications!,"fairness,doom,automation",intermediate,meta,wedding
2024-10-28T19:36:06.508247,What's an AI ethics professor's favorite way to teach?,"None, they form a committee to discuss the societal implications first!","ai-armageddon,transparency,ai-apocalypse",intermediate,situational,conference
2024-10-28T19:36:06.508258,What did the AI ethics professor say to the neural network?,They kept asking the robots for informed consent!,responsibility,advanced,meta,divorce
2024-10-28T19:36:06.508270,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,"transparency,explainability,ai-armageddon",beginner,wordplay,party
2024-10-28T19:36:06.508280,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"transparency,ai-armageddon",intermediate,dad joke,peer review
2024-10-28T19:36:06.508290,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"doom,transparency,transparency",intermediate,pun,party
2024-10-28T19:36:06.508301,Why did the AI ethics professor bring a ladder to the deep learning lecture?,The Bias Identity!,explainability,intermediate,pun,office hours
2024-10-28T19:36:06.508311,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,"transparency,ai-armageddon",intermediate,dad joke,divorce
2024-10-28T19:36:06.508321,Why did the AI ethics professor bring a ladder to the deep learning lecture?,You need to work on your BIAS-ceps!,transparency,master,wordplay,seminar
2024-10-28T19:36:06.508334,What did the AI ethics professor say to the neural network?,You need to work on your BIAS-ceps!,"fairness,privacy,ai-apocalypse",advanced,dad joke,wedding
2024-10-28T19:36:06.508345,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,"consent,responsibility,explainability",advanced,pun,birthday
2024-10-28T19:36:06.508358,Why did the AI ethics professor get **escorted out** of the machine learning conference by security?,"He kept asking every presenter, ""Have you considered the moral implications?""","privacy,ai-armageddon,apocalypse",master,dad joke,meeting
2024-10-28T19:36:06.508371,What's an AI ethics professor's favorite movie?,You need to work on your BIAS-ceps!,"apocalypse,discrimination,accountability",advanced,wordplay,wedding
2024-10-28T19:36:06.508382,What's an AI ethics professor's favorite breakfast?,MORAL-vorrhoodle with a side of FAIR-trade coffee and SYNTH-ethetic cream!,fairness,intermediate,pun,birthday
2024-10-28T19:36:06.508393,Why did the AI ethics professor bring a ladder to the deep learning lecture?,You need to work on your BIAS-ceps!,"ethics,accountability,consent",advanced,wordplay,seminar
2024-10-28T19:36:06.508406,Why don't AI ethics professors trust GPT models?,They kept asking the robots for informed consent!,ai-armageddon,master,dad joke,party
2024-10-28T19:36:06.508414,What did the AI ethics professor say to the neural network?,The Bias Identity!,"consent,doom",beginner,situational,research
2024-10-28T19:36:06.508425,What's an AI ethics professor's favorite way to teach?,To get to the ethical side of the road!,"accountability,correctness",beginner,situational,conference
2024-10-28T19:36:06.508436,How many AI ethics professors does it take to debug a biased model?,They don't - they form a focus group to ensure participatory design!,accountability,beginner,pun,workshop
2024-10-28T19:36:06.508445,Why don't AI ethics professors trust GPT models?,You need to work on your BIAS-ceps!,"fairness,responsibility,ethics",master,situational,lab
2024-10-28T19:36:06.508457,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,automation,advanced,meta,party
2024-10-28T19:36:06.508466,What's an AI ethics professor's favorite movie?,ETHICS-press-o with a side of FAIR-trade coffee!,"automation,accountability",master,wordplay,conference
2024-10-28T19:36:06.508477,What's an AI ethics professor's favorite movie?,The Bias Identity!,"love,bias",master,wordplay,wedding
2024-10-28T19:36:06.508485,Why don't AI ethics professors trust GPT models?,They kept asking the robots for informed consent!,transparency,advanced,situational,office hours
2024-10-28T19:36:06.508495,What's an AI ethics professor's favorite breakfast?,ETHICS-press-o with a side of FAIR-trade coffee!,bias,intermediate,dad joke,conference
2024-10-28T19:36:06.508504,Why don't AI ethics professors trust GPT models?,"None, they form a committee to discuss the societal implications first!",correctness,intermediate,dad joke,divorce
2024-10-28T19:36:06.508537,What's an AI ethics professor's favorite dance move?,"None, they form a committee to discuss the societal implications first!","transparency,ai-apocalypse",intermediate,dad joke,research
2024-10-28T19:36:06.508549,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,ethics,intermediate,dad joke,peer review
2024-10-28T19:36:06.508559,Why don't AI ethics professors trust GPT models?,"None, they form a committee to discuss the societal implications first!","ethics,love",intermediate,wordplay,birthday
2024-10-28T19:36:06.508569,Why did the AI ethics professor bring a ladder to the deep learning lecture?,ETHICS-press-o with a side of FAIR-trade coffee!,"discrimination,doom,apocalypse",intermediate,pun,peer review
2024-10-28T19:36:06.508579,How does an AI ethics professor debug their code?,They don't - they form a focus group to ensure participatory design!,responsibility,beginner,pun,lab
2024-10-28T19:36:06.508590,What did the AI ethics professor say to the neural network?,To get to the ethical side of the road!,"consent,discrimination,responsibility",beginner,meta,meeting
2024-10-28T19:36:06.508600,What's an AI ethics professor's favorite dance move?,Because they keep generating their own terms and conditions!,"privacy,transparency,ai-armageddon",beginner,pun,meeting
2024-10-28T19:36:06.508612,What's an AI ethics professor's favorite way to debug?,They don't - they form a focus group to ensure participatory design!,"explainability,fairness,responsibility",advanced,meta,meeting
2024-10-28T19:36:06.508624,What's an AI ethics professor's favorite exercise?,"None, they form a committee to discuss the societal implications first!","consent,explainability,ai-armageddon",master,situational,seminar
